# Generated: 2026-09-26T20:44:29.365285

📡卫视频道,#genre#
河北卫视,http://113.57.140.161:10081/newlive/live/hls/33/live.m3u8
辽宁卫视,http://jsmov2.a.yximgs.com/bs3/video-hls/5250634317044855747_hlsb.m3u8
吉林卫视,http://jsmov2.a.yximgs.com/bs3/video-hls/5250634317044855747_hlsb.m3u8
湖北卫视,http://113.57.140.161:10081/newlive/live/hls/36/live.m3u8
湖南卫视,https://d7x8z4yuq42qn.cloudfront.net/index_7.m3u8
海南卫视,http://112.234.22.76:9901/tsfile/live/1037_1.m3u8?key=txiptv&playlive=1&authid=0
贵州卫视,http://118.122.144.115:8888/newlive/live/hls/39/live.m3u8
甘肃卫视,https://d7x8z4yuq42qn.cloudfront.net/index_7.m3u8
新疆卫视,http://218.84.12.186:8001/hls/main/playlist.m3u8?zxinjd;http://218.84.12.186:8001/hls/main/playlist.m3u8zxinjd
海峡卫视,http://8.138.7.223/tv/hxws.m3u8
安多卫视,https://liveout.xntv.tv/a65jur/96iln2.m3u8
ABN China,https://mediaserver.abnvideos.com/streams/abnchina.m3u8
Arirang,https://amdlive-ch01-ctnd-com.akamaized.net/arirang_1ch/smil:arirang_1ch.smil/chunklist_b3256000_sleng.m3u8
Baicheng TV [Geo-blocked],https://d7x8z4yuq42qn.cloudfront.net/index_7.m3u8
CNA,https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_5.m3u8
Chaozhou Public Channel,http://113.64.146.48:1688/hls/4/index.m3u8
Chifeng Comprehensive News Chanel,https://d7x8z4yuq42qn.cloudfront.net/index_7.m3u8
China Travel,https://fastlive.cctvplus.com/out/v1/ca6f9297b7314a63959435028af287fc/index.m3u8
Chuxiong News Channel [Not 24/7],http://hwapi.yntv.net/ew265l/848y54.m3u8
Dali TV,http://www.dalitv.com.tw:4568/live/dali/index.m3u8
Discovering China,https://fastlive.cctvplus.com/out/v1/8442c3bfd4c64a3984389328f6087879/index.m3u8
Harbin Comprehensive News Channel,http://jsmov2.a.yximgs.com/bs3/video-hls/5250634317044855747_hlsb.m3u8
Harbin Movie Channel,http://jsmov2.a.yximgs.com/bs3/video-hls/5250634317044855747_hlsb.m3u8
Home Plus,https://homeplushls.wns.live/hls/stream.m3u8
HomePlus,https://homeplushls.wns.live/hls/stream.m3u8
Nei Monggol TV [Not 24/7],https://d7x8z4yuq42qn.cloudfront.net/index_7.m3u8
Newsmax,http://nmxlive.akamaized.net/hls/live/529965/Live_1/index.m3u8
Pet Club TV,https://cdn-apse1-prod.tsv2.amagi.tv/linear/amg01076-lightningintern-petclub-samsungnz/playlist.m3u8
RT Arabic,https://d7x8z4yuq42qn.cloudfront.net/index_7.m3u8
RT Balkan,https://d7x8z4yuq42qn.cloudfront.net/index_7.m3u8
RT DE,https://d7x8z4yuq42qn.cloudfront.net/index_7.m3u8
